strategy_name,holding_period,turnover_rate,buy_sell_ratio,hhi_concentration,disposition_effect,positive_trade_ratio,etf_ratio,avg_price_preference,position_uniformity,avg_loss_magnitude,vol_preference,trend_preference
形态识别,6.0,2.563111111111111,1.0022618857033128,0.0033367176662401393,0.878016960208741,0.4675234456408475,0.0,13.623315155475648,0.40037824225402974,0.03287198372641367,2.5180954740292627,0.07993021134707891
成长红利量化选股,57.0,0.9515770768547313,1.0230266456383081,0.004646379810631117,1.4178832116788322,0.5833333333333334,0.0,11.69428572526499,0.5588420358338245,0.08529946609941494,1.221034848888789,0.019285963977201358
房地产etf增强,49.0,0.6400966183574879,0.973979159056683,0.13658555676793807,5.642857142857143,0.8494623655913979,0.0,8.482749812115452,0.3201745888439781,0.07071083462474227,0.713918262936194,0.09264771958061994
旅游etf增强,7.0,2.2410714285714284,0.9993093351716169,0.02651232006683563,1.0862068965517242,0.5206611570247934,0.0,16.219169640577284,0.6576266193758609,0.03834455185517451,0.9151142317403221,0.10945891621418072
朝花夕拾策略,2.0,0.5122950819672131,0.9880662316664909,0.015005514215434095,0.782608695652174,0.43548387096774194,0.0,72.93016,0.7681298407671385,0.04636406446827364,0.998400238097082,0.054812448871975845
机器人ETF优选策略,14.0,0.8169642857142857,1.027120350640632,0.07397048887406155,1.7340425531914894,0.6342412451361867,0.0,37.33803560497398,0.5487377038360138,0.04941381041229365,1.2644396654161978,0.13656047163438048
杠铃,14.0,2.544642857142857,0.9971807239247853,0.036516182058319656,2.1965811965811968,0.6871657754010695,0.0,12.11119897768939,0.417297739289003,0.034234602900775554,0.5617491330340942,0.03100760190408664
沪深300增强策略,35.0,0.22877358490566038,1.1155962166085271,0.04461040211758683,1.85,0.6491228070175439,0.0,31.314561822133214,0.6112845279576699,0.04602998655086546,1.1220323576536393,0.0383466438764541
游戏etf增强,21.0,1.03125,0.9990780110600407,0.04984011267386262,1.1104294478527608,0.5261627906976745,0.0,25.558013321877596,0.510859283139773,0.06171966239078578,2.2918330931935076,0.16383312399323002
煤炭周期优选动态轮动策略,66.0,0.6227678571428571,1.2093844145352244,0.09636239409025896,1.0808080808080807,0.5194174757281553,0.0,8.548671184089105,0.3380985304314942,0.08134491556700121,0.5043056373076139,0.12079529939323862
申万动量,21.0,0.5022421524663677,0.9906545615889307,0.05592309190530821,2.4,0.7058823529411765,0.026785714285714284,12.226598709957301,0.4264936741059778,0.051185498462152125,0.51710184014089,0.08797664547840339
科创参数加强板,13.0,1.035273368606702,1.0181006453497348,0.006317180514266335,0.8683206106870229,0.4559118236472946,0.0,74.17792162499327,0.6697053188787019,0.09289604267559662,0.867026686045537,0.05689858591461177
综合全,5.0,1.1523178807947019,0.9890998469671902,0.07236810547949529,2.3865546218487395,0.7047146401985112,1.0,2.7202426634800045,0.45976065532316296,0.015053732371627845,0.9123077640517815,0.13243344536241994
综合拆分1,6.0,1.1037527593818985,0.9863091504030136,0.08034925927973498,2.272,0.6943765281173594,1.0,7.029219083476019,0.41837821872536685,0.015559634448716563,3.1891091183332234,0.1279130994590787
综合拆分2,6.0,1.1456953642384107,0.9950495813793533,0.08394927816334231,2.727272727272727,0.7317073170731707,1.0,8.526691041835987,0.44679090829058854,0.016876496473053882,2.9983450693355893,0.13473880627061993
行业etf增强,6.0,1.1128318584070795,0.999824241963102,0.07531358017594796,2.3196721311475406,0.6987654320987654,1.0,7.135629681407913,0.4381180317169972,0.015053459442935959,3.3036708541487125,0.11668146900376251
计算机ETF优选策略,42.0,0.6316964285714286,1.0567812605820166,0.08854306336311106,2.121212121212121,0.6796116504854369,0.0,25.72554961530874,0.4143309504015413,0.05988350687026057,0.7044341728488894,0.10301690701607721
通信etf增强,14.0,0.8381642512077294,0.9878008767273385,0.07599036920024883,1.6853932584269664,0.6276150627615062,0.0,64.55091574458532,0.5264337016048277,0.05086991214993331,1.9222728141979322,0.36979265732825306
酒etf增强,7.0,1.1986607142857142,1.0000849749458238,0.04359355670489222,1.2789115646258504,0.5611940298507463,0.0,90.24428706146904,0.6094810719048018,0.029535458488498485,2.784565386380479,0.05342433179202849
锤子策略,6.0,0.9709821428571429,0.998940783894343,0.022246650534512493,1.2417582417582416,0.5380952380952381,0.0,7.088344828375455,0.8340084447638784,0.03679388974857177,0.24395096063043045,0.032964377139027196
食品etf增强,49.0,0.5628019323671497,0.9989078569318443,0.15374111035512722,1.0533333333333335,0.512987012987013,0.0,23.922828487518622,0.23447553227791013,0.041115396280762426,1.5205775033435986,0.018223953510066893
