product_id,product_name,date,nav,total_value,market_value,cash,running_delta,initial_capital,data_completeness
集中_红利增强_V20_251229,,2024-03-20,1.2146434925115461,122499.93,120387.7,2112.23,0.0,0.0,full
集中_红利增强_V20_251229,,2024-03-21,1.2140168352658913,122436.73000000001,120324.50000000001,2112.23,0.0,0.0,full
集中_红利增强_V20_251229,,2024-03-22,1.1884646877650538,119859.73,117747.5,2112.23,0.0,0.0,full
集中_红利增强_V20_251229,,2024-03-25,1.1879976694696368,119812.62999999999,117700.4,2112.23,0.0,0.0,full
集中_红利增强_V20_251229,,2024-03-26,1.1914912836141636,120164.97,117998.5,2166.47,0.0,0.0,full
集中_红利增强_V20_251229,,2024-03-27,1.189272599669737,119941.21,117926.0,2015.21,0.0,0.0,full
集中_红利增强_V20_251229,,2024-03-28,1.1776159816635343,118765.61,116750.4,2015.21,0.0,0.0,full
集中_红利增强_V20_251229,,2024-03-29,1.180653385367039,119071.94,0.0,119071.94,0.0,0.0,funds_only
集中_红利增强_V20_251229,,2024-04-01,1.180653385367039,119071.94,0.0,119071.94,0.0,0.0,funds_only
集中_红利增强_V20_251229,,2024-04-02,1.1812981879095223,119136.97,112798.9,6338.07,0.0,0.0,full
集中_红利增强_V20_251229,,2024-04-03,1.1848806446002684,119498.26999999999,113160.19999999998,6338.07,0.0,0.0,full
集中_红利增强_V20_251229,,2024-04-08,1.20010782074192,121033.97,114695.9,6338.07,0.0,0.0,full
集中_红利增强_V20_251229,,2024-04-09,1.2021886797541534,121243.83,0.0,121243.83,0.0,0.0,funds_only
集中_红利增强_V20_251229,,2024-04-10,1.2010720003395068,121131.20999999999,114819.2,6312.01,0.0,0.0,full
集中_红利增强_V20_251229,,2024-04-11,1.19900462635661,120922.70999999998,114610.69999999998,6312.01,0.0,0.0,full
集中_红利增强_V20_251229,,2024-04-12,1.2125838525895931,122292.20999999999,115980.2,6312.01,0.0,0.0,full
集中_红利增强_V20_251229,,2024-04-15,1.2206353074953575,123104.22,118881.8,4222.42,0.0,0.0,full
集中_红利增强_V20_251229,,2024-04-16,1.2188070944739355,122919.84,0.0,122919.84,0.0,0.0,funds_only
集中_红利增强_V20_251229,,2024-04-17,1.2188070944739355,122919.84,0.0,122919.84,0.0,0.0,funds_only
集中_红利增强_V20_251229,,2024-04-18,1.2188070944739355,122919.84,0.0,122919.84,0.0,0.0,funds_only
集中_红利增强_V20_251229,,2024-04-19,1.2188070944739355,122919.84,0.0,122919.84,0.0,0.0,funds_only
集中_红利增强_V20_251229,,2024-04-22,1.2030693711554048,121332.65000000001,114802.6,6530.05,0.0,0.0,full
集中_红利增强_V20_251229,,2024-04-23,1.1900335122809962,120017.95,113487.9,6530.05,0.0,0.0,full
集中_红利增强_V20_251229,,2024-04-24,1.1969198011592777,120712.45,114182.4,6530.05,0.0,0.0,full
集中_红利增强_V20_251229,,2024-04-25,1.1940177435222792,120419.77,0.0,120419.77,0.0,0.0,funds_only
集中_红利增强_V20_251229,,2024-04-26,1.2009291185213122,121116.79999999999,115012.4,6104.4,0.0,0.0,full
集中_红利增强_V20_251229,,2024-04-29,1.1991720985224188,120939.59999999998,114835.19999999998,6104.4,0.0,0.0,full
集中_红利增强_V20_251229,,2024-04-30,1.1996797702151014,120990.79999999999,114886.4,6104.4,0.0,0.0,full
集中_红利增强_V20_251229,,2024-05-06,1.2207655966758624,123117.36,119723.4,3393.96,0.0,0.0,full
集中_红利增强_V20_251229,,2024-05-07,1.227698488229058,123816.56000000001,120422.6,3393.96,0.0,0.0,full
集中_红利增强_V20_251229,,2024-05-08,1.221453729790553,123186.76000000002,119792.80000000002,3393.96,0.0,0.0,full
集中_红利增强_V20_251229,,2024-05-09,1.2364795228837984,124702.15,122552.0,2150.15,0.0,0.0,full
集中_红利增强_V20_251229,,2024-05-10,1.254199446360223,126489.25,124339.1,2150.15,0.0,0.0,full
集中_红利增强_V20_251229,,2024-05-13,1.2791874040307158,129009.34999999998,126859.19999999998,2150.15,0.0,0.0,full
集中_红利增强_V20_251229,,2024-05-14,1.2642279453832526,127500.65,125350.5,2150.15,0.0,0.0,full
集中_红利增强_V20_251229,,2024-05-15,1.2628943156436863,127366.15,125216.0,2150.15,0.0,0.0,full
集中_红利增强_V20_251229,,2024-05-16,1.2717845195432789,128262.74999999999,126112.59999999999,2150.15,0.0,0.0,full
集中_红利增强_V20_251229,,2024-05-17,1.284524897627806,129547.65,127397.5,2150.15,0.0,0.0,full
集中_红利增强_V20_251229,,2024-05-20,1.2906288564952937,130163.24999999999,128013.09999999999,2150.15,0.0,0.0,full
集中_红利增强_V20_251229,,2024-05-21,1.275981734924383,128686.04999999999,126535.9,2150.15,0.0,0.0,full
集中_红利增强_V20_251229,,2024-05-22,1.2784774568979804,128937.75,126787.6,2150.15,0.0,0.0,full
集中_红利增强_V20_251229,,2024-05-23,1.2718489700511393,128269.25,126119.1,2150.15,0.0,0.0,full
集中_红利增强_V20_251229,,2024-05-24,1.257165161268062,126788.35,124638.20000000001,2150.15,0.0,0.0,full
集中_红利增强_V20_251229,,2024-05-27,1.2740650759752514,128492.75,126342.6,2150.15,0.0,0.0,full
集中_红利增强_V20_251229,,2024-05-28,1.2761552555224676,128703.54999999999,126553.4,2150.15,0.0,0.0,full
集中_红利增强_V20_251229,,2024-05-29,1.2667969426265557,127759.74,0.0,127759.74,0.0,0.0,funds_only
集中_红利增强_V20_251229,,2024-05-30,1.2667969426265557,127759.74,0.0,127759.74,0.0,0.0,funds_only
集中_红利增强_V20_251229,,2024-05-31,1.2667969426265557,127759.74,0.0,127759.74,0.0,0.0,funds_only
集中_红利增强_V20_251229,,2024-06-03,1.2721386007179998,128298.45999999999,121674.7,6623.76,0.0,0.0,full
集中_红利增强_V20_251229,,2024-06-04,1.263637677885882,127441.12,122968.9,4472.22,0.0,0.0,full
集中_红利增强_V20_251229,,2024-06-05,1.2655057510675498,127629.52,123157.3,4472.22,0.0,0.0,full
集中_红利增强_V20_251229,,2024-06-06,1.2940662499660411,130509.92,126037.7,4472.22,0.0,0.0,full
集中_红利增强_V20_251229,,2024-06-07,1.2979293142525474,130899.52000000002,126427.30000000002,4472.22,0.0,0.0,full
集中_红利增强_V20_251229,,2024-06-11,1.2919820196964733,130299.72,125827.5,4472.22,0.0,0.0,full
集中_红利增强_V20_251229,,2024-06-12,1.3070763286373055,131822.02,127349.79999999999,4472.22,0.0,0.0,full
集中_红利增强_V20_251229,,2024-06-13,1.3177919692287512,132902.72,128430.5,4472.22,0.0,0.0,full
集中_红利增强_V20_251229,,2024-06-14,1.3313821024707566,134273.32,129801.1,4472.22,0.0,0.0,full
集中_红利增强_V20_251229,,2024-06-17,1.3430176005413066,135446.79,133013.5,2433.29,0.0,0.0,full
集中_红利增强_V20_251229,,2024-06-18,1.35456415691101,136611.29000000004,134178.00000000003,2433.29,0.0,0.0,full
集中_红利增强_V20_251229,,2024-06-19,1.340104338431403,135152.98,132956.0,2196.98,0.0,0.0,full
集中_红利增强_V20_251229,,2024-06-20,1.3588227490065217,137040.78,134843.8,2196.98,0.0,0.0,full
集中_红利增强_V20_251229,,2024-06-21,1.34148982604114,135292.71000000002,132809.7,2483.01,0.0,0.0,full
集中_红利增强_V20_251229,,2024-06-24,1.3352724342798188,134665.67,132443.6,2222.07,0.0,0.0,full
集中_红利增强_V20_251229,,2024-06-25,1.315607097012294,132682.37,130460.3,2222.07,0.0,0.0,full
集中_红利增强_V20_251229,,2024-06-26,1.3448527543866515,135631.87,133409.8,2222.07,0.0,0.0,full
集中_红利增强_V20_251229,,2024-06-27,1.330416633863012,134175.94999999998,131960.3,2215.65,0.0,0.0,full
集中_红利增强_V20_251229,,2024-06-28,1.350036360001897,136154.65,133939.0,2215.65,0.0,0.0,full
集中_红利增强_V20_251229,,2024-07-01,1.3577535646584362,136932.94999999998,134717.3,2215.65,0.0,0.0,full
集中_红利增强_V20_251229,,2024-07-02,1.356147259693308,136770.94999999998,134555.3,2215.65,0.0,0.0,full
集中_红利增强_V20_251229,,2024-07-03,1.361400075238533,137300.71000000002,135044.30000000002,2256.41,0.0,0.0,full
集中_红利增强_V20_251229,,2024-07-04,1.361269191130263,137287.51,135031.1,2256.41,0.0,0.0,full
集中_红利增强_V20_251229,,2024-07-05,1.3608398515932871,137244.21,134987.8,2256.41,0.0,0.0,full
集中_红利增强_V20_251229,,2024-07-08,1.3736179084362554,138532.91,136276.5,2256.41,0.0,0.0,full
集中_红利增强_V20_251229,,2024-07-09,1.3855353031127229,139734.81,137478.4,2256.41,0.0,0.0,full
集中_红利增强_V20_251229,,2024-07-10,1.3740422902418572,138575.71,136319.3,2256.41,0.0,0.0,full
集中_红利增强_V20_251229,,2024-07-11,1.3851181595949267,139692.74,0.0,139692.74,0.0,0.0,funds_only
集中_红利增强_V20_251229,,2024-07-12,1.3851181595949267,139692.74,0.0,139692.74,0.0,0.0,funds_only
集中_红利增强_V20_251229,,2024-07-15,1.3851181595949267,139692.74,0.0,139692.74,0.0,0.0,funds_only
集中_红利增强_V20_251229,,2024-07-16,1.3851181595949267,139692.74,0.0,139692.74,0.0,0.0,funds_only
集中_红利增强_V20_251229,,2024-07-17,1.3851181595949267,139692.74,0.0,139692.74,0.0,0.0,funds_only
集中_红利增强_V20_251229,,2024-07-18,1.3988996612679632,141082.64,133847.7,7234.94,0.0,0.0,full
集中_红利增强_V20_251229,,2024-07-19,1.3715498403709665,138324.34,131089.4,7234.94,0.0,0.0,full
集中_红利增强_V20_251229,,2024-07-22,1.3623438289828593,137395.89,132598.2,4797.69,0.0,0.0,full
集中_红利增强_V20_251229,,2024-07-23,1.3661356010922097,137778.30000000002,133863.6,3914.7,0.0,0.0,full
集中_红利增强_V20_251229,,2024-07-24,1.369094375176125,138076.7,134162.0,3914.7,0.0,0.0,full
集中_红利增强_V20_251229,,2024-07-25,1.3419934323940959,135343.5,131428.8,3914.7,0.0,0.0,full
集中_红利增强_V20_251229,,2024-07-26,1.3464474582603652,135792.7,131878.0,3914.7,0.0,0.0,full
集中_红利增强_V20_251229,,2024-07-29,1.3596627870105071,137125.5,133210.8,3914.7,0.0,0.0,full
集中_红利增强_V20_251229,,2024-07-30,1.3539395819125315,136548.30000000002,132633.6,3914.7,0.0,0.0,full
集中_红利增强_V20_251229,,2024-07-31,1.3569221531070412,136849.1,132934.4,3914.7,0.0,0.0,full
集中_红利增强_V20_251229,,2024-08-01,1.3648703880456021,137650.7,133736.0,3914.7,0.0,0.0,full
集中_红利增强_V20_251229,,2024-08-02,1.3503382858425648,136185.1,133858.4,2326.7,0.0,0.0,full
集中_红利增强_V20_251229,,2024-08-05,1.3208576320010863,133211.9,130885.2,2326.7,0.0,0.0,full
